"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","sample_ID","rand","group"
6.3,3.4,5.6,2.4,"virginica",137,932,"s1"
7.1,3,5.9,2.1,"virginica",103,59,"s1"
6.1,3,4.9,1.8,"virginica",128,435,"s1"
6.7,3,5.2,2.3,"virginica",146,644,"s1"
4.9,2.5,4.5,1.7,"virginica",107,381,"s1"
5.8,2.8,5.1,2.4,"virginica",115,729,"s1"
5.8,2.7,5.1,1.9,"virginica",143,287,"s1"
6.5,3,5.2,2,"virginica",148,86,"s1"
7.7,3.8,6.7,2.2,"virginica",118,698,"s1"
6.7,3.3,5.7,2.1,"virginica",125,708,"s1"
6,2.2,5,1.5,"virginica",120,801,"s1"
6.1,2.6,5.6,1.4,"virginica",135,786,"s1"
6.7,2.5,5.8,1.8,"virginica",109,752,"s1"
5.6,2.8,4.9,2,"virginica",122,166,"s1"
6.3,2.8,5.1,1.5,"virginica",134,462,"s1"
7.7,3,6.1,2.3,"virginica",136,998,"s1"
6.6,2.9,4.6,1.3,"versicolor",59,906,"s1"
5.6,2.5,3.9,1.1,"versicolor",70,332,"s1"
4.9,2.4,3.3,1,"versicolor",58,848,"s1"
5.7,2.8,4.1,1.3,"versicolor",100,630,"s1"
5.6,3,4.1,1.3,"versicolor",89,992,"s1"
6.5,2.8,4.6,1.5,"versicolor",55,317,"s1"
6.7,3.1,4.7,1.5,"versicolor",87,272,"s1"
6.1,2.8,4,1.3,"versicolor",72,661,"s1"
5.4,3,4.5,1.5,"versicolor",85,50,"s1"
6.2,2.9,4.3,1.3,"versicolor",98,494,"s1"
6.1,2.9,4.7,1.4,"versicolor",64,627,"s1"
5.5,2.4,3.7,1,"versicolor",82,201,"s1"
5,2.3,3.3,1,"versicolor",94,68,"s1"
7,3.2,4.7,1.4,"versicolor",51,64,"s1"
5.6,2.7,4.2,1.3,"versicolor",95,855,"s1"
6.1,2.8,4.7,1.2,"versicolor",74,677,"s1"
4.8,3.4,1.9,0.2,"setosa",25,882,"s1"
5,3.6,1.4,0.2,"setosa",5,365,"s1"
5.1,3.5,1.4,0.2,"setosa",1,191,"s1"
5,3.4,1.5,0.2,"setosa",8,919,"s1"
4.8,3,1.4,0.1,"setosa",13,144,"s1"
4.4,2.9,1.4,0.2,"setosa",9,928,"s1"
5.4,3.4,1.7,0.2,"setosa",21,263,"s1"
4.6,3.6,1,0.2,"setosa",23,84,"s1"
4.9,3.1,1.5,0.1,"setosa",10,280,"s1"
5,3.4,1.6,0.4,"setosa",27,252,"s1"
5.2,4.1,1.5,0.1,"setosa",33,849,"s1"
5.1,3.8,1.5,0.3,"setosa",20,555,"s1"
4.8,3.4,1.6,0.2,"setosa",12,254,"s1"
5.1,3.3,1.7,0.5,"setosa",24,968,"s1"
5.1,3.7,1.5,0.4,"setosa",22,342,"s1"
5,3.2,1.2,0.2,"setosa",36,153,"s1"
6.4,2.7,5.3,1.9,"virginica",112,271,"s2"
5.9,3,5.1,1.8,"virginica",150,441,"s2"
6.2,2.8,4.8,1.8,"virginica",127,392,"s2"
6.8,3,5.5,2.1,"virginica",113,826,"s2"
6.7,3.3,5.7,2.5,"virginica",145,987,"s2"
5.8,2.7,5.1,1.9,"virginica",102,389,"s2"
7.4,2.8,6.1,1.9,"virginica",131,508,"s2"
7.2,3.6,6.1,2.5,"virginica",110,30,"s2"
6.3,2.5,5,1.9,"virginica",147,879,"s2"
6.3,3.3,6,2.5,"virginica",101,717,"s2"
6.4,2.8,5.6,2.1,"virginica",129,74,"s2"
6.5,3,5.8,2.2,"virginica",105,705,"s2"
7.2,3,5.8,1.6,"virginica",130,362,"s2"
6.4,2.8,5.6,2.2,"virginica",133,305,"s2"
6.5,3.2,5.1,2,"virginica",111,24,"s2"
6.9,3.1,5.1,2.3,"virginica",142,789,"s2"
4.8,3,1.4,0.3,"setosa",46,756,"s2"
4.4,3.2,1.3,0.2,"setosa",43,597,"s2"
5.3,3.7,1.5,0.2,"setosa",49,584,"s2"
5.4,3.4,1.5,0.4,"setosa",32,961,"s2"
5.1,3.5,1.4,0.3,"setosa",18,643,"s2"
4.4,3,1.3,0.2,"setosa",39,581,"s2"
4.8,3.1,1.6,0.2,"setosa",31,810,"s2"
4.6,3.2,1.4,0.2,"setosa",48,482,"s2"
4.3,3,1.1,0.1,"setosa",14,578,"s2"
5.4,3.9,1.3,0.4,"setosa",17,776,"s2"
5.1,3.8,1.6,0.2,"setosa",47,770,"s2"
4.7,3.2,1.6,0.2,"setosa",30,257,"s2"
5.5,3.5,1.3,0.2,"setosa",37,110,"s2"
5.2,3.4,1.4,0.2,"setosa",29,243,"s2"
4.6,3.4,1.4,0.3,"setosa",7,459,"s2"
4.5,2.3,1.3,0.3,"setosa",42,471,"s2"
5.6,2.9,3.6,1.3,"versicolor",65,360,"s2"
6.3,2.3,4.4,1.3,"versicolor",88,312,"s2"
6.3,2.5,4.9,1.5,"versicolor",73,621,"s2"
5.9,3.2,4.8,1.8,"versicolor",71,333,"s2"
6.4,3.2,4.5,1.5,"versicolor",52,874,"s2"
5.1,2.5,3,1.1,"versicolor",99,253,"s2"
5.5,2.6,4.4,1.2,"versicolor",91,78,"s2"
5.5,2.4,3.8,1.1,"versicolor",81,769,"s2"
6.3,3.3,4.7,1.6,"versicolor",57,417,"s2"
5.7,2.6,3.5,1,"versicolor",80,995,"s2"
5,2,3.5,1,"versicolor",61,953,"s2"
6.1,3,4.6,1.4,"versicolor",92,231,"s2"
6.4,2.9,4.3,1.3,"versicolor",75,755,"s2"
5.6,3,4.5,1.5,"versicolor",67,155,"s2"
5.7,2.9,4.2,1.3,"versicolor",97,220,"s2"
5.9,3,4.2,1.5,"versicolor",62,986,"s2"
4.7,3.2,1.3,0.2,"setosa",3,52,"s3"
6.2,2.2,4.5,1.5,"versicolor",69,77,"s3"
7.3,2.9,6.3,1.8,"virginica",108,87,"s3"
6.2,3.4,5.4,2.3,"virginica",149,88,"s3"
5.8,2.7,4.1,1,"versicolor",68,118,"s3"
6.8,3.2,5.9,2.3,"virginica",144,130,"s3"
6,2.2,4,1,"versicolor",63,135,"s3"
5.5,2.3,4,1.3,"versicolor",54,138,"s3"
5,3.5,1.3,0.3,"setosa",41,143,"s3"
6.4,3.1,5.5,1.8,"virginica",138,186,"s3"
5.8,4,1.2,0.2,"setosa",15,194,"s3"
4.6,3.1,1.5,0.2,"setosa",4,202,"s3"
4.9,3.1,1.5,0.2,"setosa",35,206,"s3"
6.3,2.7,4.9,1.8,"virginica",124,216,"s3"
5,3.5,1.6,0.6,"setosa",44,247,"s3"
6.7,3.1,4.4,1.4,"versicolor",66,258,"s3"
6.6,3,4.4,1.4,"versicolor",76,292,"s3"
5.5,4.2,1.4,0.2,"setosa",34,318,"s3"
5.8,2.7,3.9,1.2,"versicolor",83,337,"s3"
4.9,3,1.4,0.2,"setosa",2,349,"s3"
6.5,3,5.5,1.8,"virginica",117,378,"s3"
6.9,3.1,4.9,1.5,"versicolor",53,384,"s3"
7.2,3.2,6,1.8,"virginica",126,386,"s3"
6,3,4.8,1.8,"virginica",139,397,"s3"
5.8,2.6,4,1.2,"versicolor",93,405,"s3"
5.7,4.4,1.5,0.4,"setosa",16,424,"s3"
6.9,3.1,5.4,2.1,"virginica",140,449,"s3"
7.9,3.8,6.4,2,"virginica",132,480,"s3"
5.7,3.8,1.7,0.3,"setosa",19,533,"s3"
7.7,2.8,6.7,2,"virginica",123,543,"s3"
5.2,3.5,1.5,0.2,"setosa",28,557,"s3"
5.4,3.9,1.7,0.4,"setosa",6,575,"s3"
5.4,3.7,1.5,0.2,"setosa",11,595,"s3"
6,3.4,4.5,1.6,"versicolor",86,657,"s3"
6,2.9,4.5,1.5,"versicolor",79,678,"s3"
6,2.7,5.1,1.6,"versicolor",84,704,"s3"
6.7,3.1,5.6,2.4,"virginica",141,707,"s3"
4.9,3.6,1.4,0.1,"setosa",38,710,"s3"
5,3,1.6,0.2,"setosa",26,715,"s3"
7.6,3,6.6,2.1,"virginica",106,748,"s3"
6.8,2.8,4.8,1.4,"versicolor",77,774,"s3"
5.1,3.8,1.9,0.4,"setosa",45,793,"s3"
5,3.3,1.4,0.2,"setosa",50,794,"s3"
5.7,2.5,5,2,"virginica",114,795,"s3"
6.9,3.2,5.7,2.3,"virginica",121,831,"s3"
5.5,2.5,4,1.3,"versicolor",90,853,"s3"
6.3,2.9,5.6,1.8,"virginica",104,876,"s3"
7.7,2.6,6.9,2.3,"virginica",119,892,"s3"
5.2,2.7,3.9,1.4,"versicolor",60,904,"s3"
6.7,3,5,1.7,"versicolor",78,915,"s3"
5.7,2.8,4.5,1.3,"versicolor",56,933,"s3"
5.1,3.4,1.5,0.2,"setosa",40,954,"s3"
6.4,3.2,5.3,2.3,"virginica",116,957,"s3"
5.7,3,4.2,1.2,"versicolor",96,990,"s3"
